#ap2016,anp2016,b2017,r2017,hindi,code,desc,b2018
"","","","","","3451","Secretariat - Economic Services",""
"0","0","5","0","","22.00.27","Minor Works","20"
"0","0","2","0","4 ","22.00.28","Professional Services","10"
"0","0","2","0","! , ","22.00.30","Other Contractual Services","10"
"0","0","2","0","","22.00.50","Other Charges","10"
"0","0","100","0",":  O+  - II","","Total:Mars Orbiter Mission - II","200"
"1464868","582000","2792800","2884400",": *+ ,: ( %)","","Total:Space Sciences","3222800"
"","","","","","3402","Space Research",""
"","","","","","00.105","INSAT Satellite System",""
"","","","","! -3 ","01","INSAT-3 Satellites",""
"2500","0","1000","500","","01.00.01","Salaries","0"
"6","0","0","0","* G","01.00.03","Overtime Allowance","0"
"1402","0","300","400","  4 ","01.00.11","Domestic Travel Expenses","0"
"0","0","100","0",",  4","01.00.12","Foreign Travel Expenses","0"
"3153","0","700","700","% 4","01.00.13","Office Expenses","0"
"688","0","100","10","!  4","01.00.20","Other Administrative Expenses","500"
"614","0","500","20","7   ","01.00.21","Supplies & Materials","0"
"206","0","100","0",",:  ","01.00.26","Advertising & Publicity","0"
"2453","0","500","426","","01.00.27","Minor Works","0"
"1320","0","600","424","4 ","01.00.28","Professional Services","0"
"8793","0","500","0","! , ","01.00.30","Other Contractual Services","4500"
"30","0","100","20","","01.00.50","Other Charges","0"
"21165","0","4500","2500",": ! -3 ","","Total:INSAT-3 Satellites","5000"
"","","","","! -4/ ","02","INSAT-4/GSAT Satellites",""
"5000","0","5000","163000","","02.00.01","Salaries","82500"
"11","0","50","50","* G","02.00.03","Overtime Allowance","100"
"842","0","950","4400","  4 ","02.00.11","Domestic Travel Expenses","3500"
"0","0","5000","1000",",  4","02.00.12","Foreign Travel Expenses","100"
"6486","0","1000","5750","% 4","02.00.13","Office Expenses","11000"
"727","0","300","1500","!  4","02.00.20","Other Administrative Expenses","5000"
"7978","0","11000","25000","7   ","02.00.21","Supplies & Materials","15000"
"138","0","100","500",",:  ","02.00.26","Advertising & Publicity","500"
"947","0","500","5000","","02.00.27","Minor Works","5900"
"2200","0","1000","5000","4 ","02.00.28","Professional Services","6000"
"7637","0","15500","30000","! , ","02.00.30","Other Contractual Services","12500"
"87","0","100","2500","","02.00.50","Other Charges","1000"
"32053","0","40500","243700",": ! -4/ ","","Total:INSAT-4/GSAT Satellites","143100"
"","","","","","03","Service Charges for Leasing INSAT/GSAT Transponders",""
"893880","0","1000000","800000","4 ","03.00.28","Professional Services","1000000"
"893880","0","1000000","800000",":! /  A    Y    ","","Total:Service Charges for Leasing INSAT/GSAT Transponders","1000000"
"","","","","-15 ","04","GSAT-15 Satellite",""
"22500","0","0","0","","04.00.01","Salaries","0"
"11","0","0","0","* G","04.00.03","Overtime Allowance","0"
"806","0","0","0","  4 ","04.00.11","Domestic Travel Expenses","0"
"16364","0","0","0",",  4","04.00.12","Foreign Travel Expenses","0"
"8445","0","0","0","% 4","04.00.13","Office Expenses","0"
"3244","0","0","0","!  4","04.00.20","Other Administrative Expenses","0"
"3894","0","0","0","7   ","04.00.21","Supplies & Materials","0"
"138","0","0","0",",:  ","04.00.26","Advertising & Publicity","0"
"4458","0","0","0","","04.00.27","Minor Works","0"
"2202","0","0","0","4 ","04.00.28","Professional Services","0"
"7597","0","0","0","! , ","04.00.30","Other Contractual Services","0"
"69659","0","0","0",": -15 ","","Total:GSAT-15 Satellite","0"
"","","","","-16 ","06","GSAT-16 Satellite",""
"2","0","0","0","  4 ","06.00.11","Domestic Travel Expenses","0"
"0","0","0","0",",  4","06.00.12","Foreign Travel Expenses","0"
"0","0","0","0","% 4","06.00.13","Office Expenses","0"
"32","0","0","0","!  4","06.00.20","Other Administrative Expenses","0"
"2","0","0","0","7   ","06.00.21","Supplies & Materials","0"
"0","0","0","0","","06.00.27","Minor Works","0"
"0","0","0","0","4 ","06.00.28","Professional Services","0"
"659","0","0","0","! , ","06.00.30","Other Contractual Services","0"
"0","0","0","0","","06.00.50","Other Charges","0"
"695","0","0","0",": -16 ","","Total:GSAT-16 Satellite","0"
"","","","","-17 ","07","GSAT-17 Satellite",""
"140000","0","94000","145200","","07.00.01","Salaries","0"
"11","0","100","0","* G","07.00.03","Overtime Allowance","0"
"2074","0","1600","1500","  4 ","07.00.11","Domestic Travel Expenses","5500"
"590","0","20000","29500",",  4","07.00.12","Foreign Travel Expenses","20000"
"36517","0","6200","11500","% 4","07.00.13","Office Expenses","27000"
"3171","0","1800","4300","!  4","07.00.20","Other Administrative Expenses","1200"
"10275","0","1000","2000","7   ","07.00.21","Supplies & Materials","10000"
"422","0","400","300",",:  ","07.00.26","Advertising & Publicity","500"
"15467","0","8500","2400","","07.00.27","Minor Works","5000"
"8802","0","7000","1700","4 ","07.00.28","Professional Services","5000"
"18291","0","18000","23000","! , ","07.00.30","Other Contractual Services","2100"
"128","0","400","100","","07.00.50","Other Charges","1500"
"235748","0","159000","221500",": -17 ","","Total:GSAT-17 Satellite","77800"
"","","","","-17   ","08","GSAT-17 Satellite Launch Services",""
"128","0","50000","13000","","08.00.50","Other Charges","5000"
"128","0","50000","13000",": -17   ","","Total:GSAT-17 Satellite Launch Services","5000"
"","","","","-18 ","09","GSAT-18 Satellite",""
"204000","0","40000","31500","","09.00.01","Salaries","0"
"11","0","50","0","* G","09.00.03","Overtime Allowance","0"
"1552","0","1800","1000","  4 ","09.00.11","Domestic Travel Expenses","0"
"49408","0","20000","10000",",  4","09.00.12","Foreign Travel Expenses","0"
"21380","0","6150","8000","% 4","09.00.13","Office Expenses","0"
"3350","0","2500","2600","!  4","09.00.20","Other Administrative Expenses","0"
"0","0","2400","2000","7   ","09.00.21","Supplies & Materials","0"
"211","0","200","0",",:  ","09.00.26","Advertising & Publicity","0"
"16807","0","4500","6100","","09.00.27","Minor Works","0"
"9682","0","2000","2000","4 ","09.00.28","Professional Services","0"
"30295","0","9000","5000","! , ","09.00.30","Other Contractual Services","0"
"18936","0","100","100","","09.00.50","Other Charges","0"
"355632","0","88700","68300",": -18 ","","Total:GSAT-18 Satellite","0"
"","","","","-18   ","10","GSAT-18 Satellite Launch Services",""
"13285","","20000","0","","10.00.50","Other Charges","0"
"13285","0","20000","0",": -18   ","","Total:GSAT-18 Satellite Launch Services","0"
"","","","","-19 ","11","GSAT-19 Satellite",""
"23500","0","12000","5000","","11.00.01","Salaries","0"
"6","0","100","0","* G","11.00.03","Overtime Allowance","0"
"1461","0","1300","1900","  4 ","11.00.11","Domestic Travel Expenses","0"
"0","0","1000","200",",  4","11.00.12","Foreign Travel Expenses","0"
"2282","0","1600","1500","% 4","11.00.13","Office Expenses","0"
"1240","0","800","2500","!  4","11.00.20","Other Administrative Expenses","0"
"19302","0","11000","25000","7   ","11.00.21","Supplies & Materials","1000"
"105","0","100","0",",:  ","11.00.26","Advertising & Publicity","0"
"3300","0","2500","4200","","11.00.27","Minor Works","0"
"4400","0","4000","3500","4 ","11.00.28","Professional Services","0"
"18098","0","3300","21970","! , ","11.00.30","Other Contractual Services","1000"
"96","0","300","230","","11.00.50","Other Charges","0"
"73790","0","38000","66000",": -19 ","","Total:GSAT-19 Satellite","2000"
"","","","","-20 ","12","GSAT-20 Satellite",""
"0","0","94000","0","","12.00.01","Salaries","92500"
"0","0","100","0","* G","12.00.03","Overtime Allowance","0"
"0","0","400","100","  4 ","12.00.11","Domestic Travel Expenses","2400"
"0","0","500","0",",  4","12.00.12","Foreign Travel Expenses","1000"
"0","0","1500","4900","% 4","12.00.13","Office Expenses","1000"
"0","0","200","0","!  4","12.00.20","Other Administrative Expenses","500"
"0","0","500","0","7   ","12.00.21","Supplies & Materials","1000"
"0","0","400","0",",:  ","12.00.26","Advertising & Publicity","100"
"0","0","1000","0","","12.00.27","Minor Works","0"
"0","0","500","0","4 ","12.00.28","Professional Services","1000"
"0","0","500","0","! , ","12.00.30","Other Contractual Services","500"
"0","0","400","0","","12.00.50","Other Charges","0"
"0","0","100000","5000",": -20 ","","Total:GSAT-20 Satellite","100000"
"","","","","  1  X ","13","GSAT follow-on Satellites including Launch Services",""
"0","0","50","120100","","13.00.01","Salaries","100"
"0","0","2","100","* G","13.00.03","Overtime Allowance","20"
"0","0","10","1000","  4 ","13.00.11","Domestic Travel Expenses","200"
"0","0","5","100",",  4","13.00.12","Foreign Travel Expenses","50"
"0","0","10","5000","% 4","13.00.13","Office Expenses","100"
"0","0","2","1000","!  4","13.00.20","Other Administrative Expenses","20"
"0","0","10","6000","7   ","13.00.21","Supplies & Materials","100"
"0","0","0","0",",:  ","13.00.26","Advertising & Publicity","10"
"0","0","5","2000","","13.00.27","Minor Works","50"
"0","0","2","2000","4 ","13.00.28","Professional Services","80"
"0","0","2","5000","! , ","13.00.30","Other Contractual Services","50"
"0","0","2","1000","","13.00.50","Other Charges","20"
"0","0","100","143300",":   1  X","","Total:GSAT follow-on Satellites including Launch Services","800"
"","","","","","16","Advanced Communication Satellite (GSAT-11) including launch services",""
"42500","0","5000","70000","","16.00.01","Salaries","5000"
"6","0","50","0","* G","16.00.03","Overtime Allowance","0"
"1451","0","1300","3500","  4 ","16.00.11","Domestic Travel Expenses","100"
"0","0","20000","75000",",  4","16.00.12","Foreign Travel Expenses","75000"
"6326","0","3350","20000","% 4","16.00.13","Office Expenses","7000"
"884","0","500","5000","!  4","16.00.20","Other Administrative Expenses","2400"
"2519","0","11000","7300","7   ","16.00.21","Supplies & Materials","1000"
"482","0","200","500",",:  ","16.00.26","Advertising & Publicity","500"
"3675","0","2400","7500","","16.00.27","Minor Works","2500"
"2230","0","2500","5000","4 ","16.00.28","Professional Services","2500"
"4851","0","5000","28000","! , ","16.00.30","Other Contractual Services","4500"
"342","0","100","3000","","16.00.50","Other Charges","50000"
"65266","0","51400","224800","","","Total:Advanced Communication Satellite (GSAT-11) including launch services","150500"
"","","","","-21 ","17","GSAT-21 Satellite",""
"0","0","50","0","","17.00.01","Salaries","50"
"0","0","1","0","*G","17.00.03","Overtime Allowance","10"
"0","0","10","0","4 ","17.00.11","Domestic Travel Expenses","20"
"0","0","5","0",",4","17.00.12","Foreign Travel Expenses","10"
"0","0","14","0","%4","17.00.13","Office Expenses","10"
"0","0","2","0","!4","17.00.20","Other Administrative Expenses","10"
"0","0","5","0","7","17.00.21","Supplies & Materials","20"
"0","0","2","0",",:","17.00.26","Advertising & Publicity","10"
"0","0","5","0","%%","17.00.27","Minor Works","20"
"0","0","2","0","4","17.00.28","Professional Services","20"
"0","0","2","0","!,","17.00.30","Other Contractual Services","10"
"0","0","2","0","!","17.00.50","Other Charges","10"
"0","0","100","0",": -21 ","","Total:GSAT-21 Satellite","200"
"","","","","","18","GSAT-22/23/24 Satellites",""
"0","0","100","45000","","18.00.01","Salaries","98000"
"0","0","2","0","*G","18.00.03","Overtime Allowance","0"
"0","0","20","1000","4 ","18.00.11","Domestic Travel Expenses","800"
"0","0","10","2500",",4","18.00.12","Foreign Travel Expenses","100"
"0","0","28","0","%4","18.00.13","Office Expenses","200"
"0","0","4","1000","!4","18.00.20","Other Administrative Expenses","100"
"0","0","10","2500","7","18.00.21","Supplies & Materials","200"
"0","0","4","1000",",:","18.00.26","Advertising & Publicity","100"
"0","0","10","0","%%","18.00.27","Minor Works","100"
"0","0","4","0","4","18.00.28","Professional Services","100"
"0","0","4","2500","!,","18.00.30","Other Contractual Services","200"
"0","0","4","0","!","18.00.50","Other Charges","100"
"0","0","200","55500","","","Total:GSAT-22/23/24 Satellites","100000"
"","","","","/A @ /","19","Procurement of Heavier Class Satellite",""
"0","0","88","0",",4","19.00.12","Foreign Travel Expenses","88"
"0","0","5","0","7","19.00.21","Supplies & Materials","5"
"0","0","5","0","%%","19.00.27","Minor Works","5"
"0","0","2","0","!","19.00.50","Other Charges","2"
"0","0","100","0",": /A @ /","","Total:Procurement of Heavier Class Satellite","100"
"","","","","-2528 ","20","GSAT-25 & 28 Satellites",""
"0","0","0","0","","20.00.01","Salaries","10"
"0","0","0","0","*G","20.00.03","Overtime Allowance","5"
"0","0","0","0","4 ","20.00.11","Domestic Travel Expenses","15"
"0","0","0","0",",4","20.00.12","Foreign Travel Expenses","5"
"0","0","0","0","%4","20.00.13","Office Expenses","10"
"0","0","0","0","!4","20.00.20","Other Administrative Expenses","5"
"0","0","0","0","7","20.00.21","Supplies & Materials","10"
"0","0","0","0",",:","20.00.26","Advertising & Publicity","5"
"0","0","0","0","%%","20.00.27","Minor Works","10"
"0","0","0","0","4","20.00.28","Professional Services","10"
"0","0","0","0","!,","20.00.30","Other Contractual Services","10"
"0","0","0","0","!","20.00.50","Other Charges","5"
"0","0","0","0",": -2528 ","","Total:GSAT-25 & 28 Satellites","100"
"","","","","-2627 ","21","GSAT-26 & 27 Satellites",""
"0","0","0","0","","21.00.01","Salaries","10"
"0","0","0","0","*G","21.00.03","Overtime Allowance","5"
"0","0","0","0","4 ","21.00.11","Domestic Travel Expenses","10"
"0","0","0","0",",4","21.00.12","Foreign Travel Expenses","10"
"0","0","0","0","%4","21.00.13","Office Expenses","10"
"0","0","0","0","!4","21.00.20","Other Administrative Expenses","5"
"0","0","0","0","7","21.00.21","Supplies & Materials","10"
"0","0","0","0",",:","21.00.26","Advertising & Publicity","5"
"0","0","0","0","%%","21.00.27","Minor Works","10"
"0","0","0","0","4","21.00.28","Professional Services","10"
"0","0","0","0","!,","21.00.30","Other Contractual Services","10"
"0","0","0","0","!","21.00.50","Other Charges","5"
"0","0","0","0",": -2627 ","","Total:GSAT-26 & 27 Satellites","100"
"","","","","-29 ","22","GSAT-29 Satellite",""
"0","0","0","0","","22.00.01","Salaries","109900"
"0","0","0","0","*G","22.00.03","Overtime Allowance","180"
"0","0","0","0","4 ","22.00.11","Domestic Travel Expenses","3260"
"0","0","0","0",",4","22.00.12","Foreign Travel Expenses","440"
"0","0","0","0","%4","22.00.13","Office Expenses","34880"
"0","0","0","0","!4","22.00.20","Other Administrative Expenses","2960"
"0","0","0","0","7","22.00.21","Supplies & Materials","19180"
"0","0","0","0",",:","22.00.26","Advertising & Publicity","480"
"0","0","0","0","%%","22.00.27","Minor Works","1930"
"0","0","0","0","4","22.00.28","Professional Services","4900"
"0","0","0","0","!,","22.00.30","Other Contractual Services","19930"
"0","0","0","0","!","22.00.50","Other Charges","960"
"0","0","0","0",": -29 ","","Total:GSAT-29 Satellite","199000"
"","","","","-30 ","23","GSAT 30 Satellite",""
"0","0","0","0","","23.00.01","Salaries","10"
"0","0","0","0","*G","23.00.03","Overtime Allowance","5"
"0","0","0","0","4 ","23.00.11","Domestic Travel Expenses","10"
"0","0","0","0",",4","23.00.12","Foreign Travel Expenses","10"
"0","0","0","0","%4","23.00.13","Office Expenses","10"
"0","0","0","0","!4","23.00.20","Other Administrative Expenses","5"
"0","0","0","0","7","23.00.21","Supplies & Materials","10"
"0","0","0","0",",:","23.00.26","Advertising & Publicity","5"
"0","0","0","0","%%","23.00.27","Minor Works","10"
"0","0","0","0","4","23.00.28","Professional Services","10"
"0","0","0","0","!,","23.00.30","Other Contractual Services","10"
"0","0","0","0","!","23.00.50","Other Charges","5"
"0","0","0","0",": -30 ","","Total:GSAT 30 Satellite","100"
"","","","","-31 ","24","GSAT 31 Satellite",""
"0","0","0","0","4 ","24.00.11","Domestic Travel Expenses","20"
"0","0","0","0",",4","24.00.12","Foreign Travel Expenses","5"
"0","0","0","0","%4","24.00.13","Office Expenses","10"
"0","0","0","0","!4","24.00.20","Other Administrative Expenses","10"
"0","0","0","0","7","24.00.21","Supplies & Materials","10"
"0","0","0","0",",:","24.00.26","Advertising & Publicity","5"
"0","0","0","0","%%","24.00.27","Minor Works","10"
"0","0","0","0","4","24.00.28","Professional Services","10"
"0","0","0","0","!,","24.00.30","Other Contractual Services","10"
"0","0","0","0","!","24.00.50","Other Charges","10"
"0","0","0","0",": -31 ","","Total:GSAT 31 Satellite","100"
"","","","","-32 ","25","GSAT 32 Satellite",""
"0","0","0","0","4 ","25.00.11","Domestic Travel Expenses","20"
"0","0","0","0",",4","25.00.12","Foreign Travel Expenses","5"
"0","0","0","0","%4","25.00.13","Office Expenses","10"
"0","0","0","0","!4","25.00.20","Other Administrative Expenses","10"
"0","0","0","0","7","25.00.21","Supplies & Materials","10"
"0","0","0","0",",:","25.00.26","Advertising & Publicity","5"
"0","0","0","0","%%","25.00.27","Minor Works","10"
"0","0","0","0","4","25.00.28","Professional Services","10"
"0","0","0","0","!,","25.00.30","Other Contractual Services","10"
"0","0","0","0","!","25.00.50","Other Charges","10"
"0","0","0","0",": -32 ","","Total:GSAT 32 Satellite","100"
"1761301","0","1552600","1843600",": !(%)","","Total:INSAT Satellite System","1784000"
"","","","","*+('%) (/)","3402","Space Research",""
"","","","","%/(%)","00.798","International Co-operation",""
"","","","","","01","Centre for Space Science & Technology Education in Asia and the Pacific (CSSTE-AP)",""
"0","0","0","0","","01.00.32","Contributions","37000"
"17000","0","40000","25000","","01.00.50","Other Charges","0"
"17000","0","40000","25000","","","Total:Centre for Space Science & Technology Education in Asia and the Pacific (CSSTE-AP)","37000"
"","","","","!%","02","Other Programmes",""
"0","0","0","0","!4","02.00.20","Other Administrative Expenses","8000"
"2000","0","2000","2000","","02.00.32","Contributions","2000"
"218","0","2000","4200","!","02.00.50","Other Charges","2000"
"2218","0","4000","6200",": !%","","Total:Other Programmes","12000"
"19218","0","44000","31200","","","Total:International Co-operation","49000"
"29426522","14854936","49088200","53443100","","","Total:Major Head '3402'","54661800"
"0","1207","6000","6000","*","","Charged","6000"
"29426522","14853729","49082200","53437100","","","Voted","54655800"
"29426522","15102709","49383300","53812100",":","","Total:Revenue","54961800"
"0","1207","6000","6000","*","","Charged","6000"
"29426522","15101502","49377300","53806100","","","Voted","54955800"
"","","","","","","CAPITAL SECTION",""
"",,"","","","5402","Capital Outlay on Space Research",""
"","","","","/(%)","00.052","Machinery & Equipment",""
"","","","","\","01","Tools & Plant",""
"499","0","500","500","","01.00.52","Machinery & Equipment","500"
"499","0","500","500","","","Total:Tools & Plant","500"
"499","0","500","500","","","Total:Machinery & Equipment","500"
"","","","","*+ ?@ (%)","00.101","Space Technology",""
"","","","",",*+ (....)","01","Vikram Sarabhai Space Centre (VSSC)",""
"0","0","30000","30000","","01.00.51","Motor Vehicles","50000"
"1627028","0","2000000","1643000","","01.00.52","Machinery & Equipment","1799200"
"0","0","500","500","%% - *","01.00.53","Major Works-Charged","500"
"884484","0","899500","754500","","","Voted","749500"
"399981","0","410000","600000","","01.00.60","Other Capital Expenditure","354900"
"","","","","?@","01.99","Information Technology",""
"36500","0","10000","11000","","01.99.52","Machinery & Equipment","10000"
"2947993","0","3350000","3039000",": ,*+  ","","Total:Vikram Sarabhai Space Centre (VSSC)","2964100"
"0","0","500","500","(....)*","","Charged","500"
"2947993","0","3349500","3038500","","","Voted","2963600"
"","","","","0(...)","02","ISRO Inertial Systems Unit (IISU)",""
"0","0","2500","0","","02.00.51","Motor Vehicles","2500"
"232100","0","331800","272000","","02.00.52","Machinery & Equipment","350000"
"48000","0","13000","14100","%%","02.00.53","Major Works","6000"
"199","0","10500","5000","","02.00.60","Other Capital Expenditure","10000"
"","","","","?@","02.99","Information Technology",""
"0","0","1000","1200","","02.99.52","Machinery & Equipment","1500"
"280299","0","358800","292300",":0(...)","","Total:ISRO Inertial Systems Unit (IISU)","370000"
"","","","",".... % -III ,","04","GSLV Mk-III Development",""
"37999","0","17500","22400","","04.00.52","Machinery & Equipment","0"
"0","0","100","100","%%","04.00.53","Major Works","0"
"97000","0","2400","27500","","04.00.60","Other Capital Expenditure","20000"
"134999","0","20000","50000",": .... % -III ,","","Total:GSLV Mk-III Development","20000"
"","","","","(....)","07","Liquid Propulsion Systems Centre (LPSC)",""
"0","0","18900","19000","","07.00.51","Motor Vehicles","13000"
"1080100","0","1513700","1500000","","07.00.52","Machinery & Equipment","2000000"
"0","0","500","500","%% -*","07.00.53","Major Works- Charged","500"
"189500","0","338100","299500","","","Voted","399500"
"500","0","19500","19500","","07.00.60","Other Capital Expenditure","20000"
"","","","","?@","07.99","Information Technology",""
"0","0","5000","5000","","07.99.52","Machinery & Equipment","12000"
"1270100","0","1895700","1843500",":(....)","","Total:Liquid Propulsion Systems Centre (LPSC)","2445000"
"0","0","500","500","(....)*","","Charged","500"
"1270100","0","1895200","1843000","","","Voted","2444500"
"","","","","()","08","ISRO Satellite Centre (ISAC)",""
"0","0","14000","2100","","08.00.51","Motor Vehicles","20000"
"279634","0","622800","450000","","08.00.52","Machinery & Equipment","750000"
"0","0","100","100","%% -*","08.00.53","Major Works-Charged","100"
"704169","0","1199900","799900","","","Voted","899900"
"130846","0","160000","100000","","08.00.60","Other Capital Expenditure","150000"
"","","","","?@","08.99","Information Technology",""
"9995","0","10000","79900","","08.99.52","Machinery & Equipment","150000"
"1124644","0","2006800","1432000",":()","","Total:ISRO Satellite Centre (ISAC)","1970000"
"0","0","100","100","*","","Charged","100"
"1124644","0","2006700","1431900","","","Voted","1969900"
"","","","","","5402","Capital Outlay on Space Research",""
"","","","","*+ ?@ (%) (/)","00.101","Space Technology",""
"","","","",",?@ ","09","Laboratory for Electro-Optics Systems (LEOS)",""
"102000","0","200000","62500","","09.00.52","Machinery & Equipment","140000"
"43614","0","15000","14500","%%","09.00.53","Major Works","11500"
"2000","0","5000","5000","","09.00.60","Other Capital Expenditure","8500"
"","","","","?@","09.99","Information Technology",""
"0","0","5000","10000","","09.99.52","Machinery & Equipment","10000"
"147614","0","225000","92000",": ,?@ ","","Total:Laboratory for Electro-Optics Systems (LEOS)","170000"
"","","","","*+  -","17","Satish Dhawan Space Centre-SHAR (SDSC-SHAR)",""
"1366","0","60300","15000","","17.00.51","Motor Vehicles","30000"
"1311087","0","2193100","2000000","","17.00.52","Machinery & Equipment","2150000"
"0","0","700","700","%% - *","17.00.53","Major Works- Charged","700"
"519997","0","999300","699300","","","Voted","849300"
"211391","0","102400","150000","","17.00.60","Other Capital Expenditure","105000"
"","","","","?@","17.99","Information Technology",""
"68878","0","94600","72000","","17.99.52","Machinery & Equipment","64000"
"2112719","0","3450400","2937000",":*+  -","","Total:Satish Dhawan Space Centre-SHAR (SDSC-SHAR)","3199000"
"0","0","700","700","(./..-)*","","Charged","700"
"0","0","3449700","2936300","","","Voted","3198300"
"","","","",":%","18","ISRO Telemetry, Tracking and Command Network (ISTRAC)",""
"136045","0","300000","250000","","18.00.52","Machinery & Equipment","300000"
"0","0","200","200","%% -*","18.00.53","Major Works- Charged","200"
"23217","0","69800","59800","","","Voted","99800"
"0","0","500","0","","18.00.60","Other Capital Expenditure","400"
"","","","","?@","18.99","Information Technology",""
"9592","0","49200","55000","","18.99.52","Machinery & Equipment","80000"
"168854","0","419700","365000",":%","","Total:ISRO Telemetry, Tracking and Command Network (ISTRAC)","480400"
"0","0","200","200","%()*","","Charged","200"
"168854","0","419500","364800","","","Voted","480200"
"","","","","-0 ","20","Polar Satellite Launch Vehicle - Continuation (PSLV-C) Project",""
"165000","0","500000","300000","","20.00.52","Machinery & Equipment","200000"
"68995","0","33700","150000","%%","20.00.53","Major Works","100000"
"3624001","0","4304200","5869900","","20.00.60","Other Capital Expenditure","7015500"
"","","","","?@","20.99","Information Technology",""
"0","0","500","500","","20.99.52","Machinery & Equipment","500"
"3857996","0","4838400","6320400",":-0 ","","Total:Polar Satellite Launch Vehicle - Continuation (PSLV-C) Project","7316000"
"","","","","....-0*","25","GSLV Operational Project",""
"36701","0","44300","25000","","25.00.52","Machinery & Equipment","20000"
"13299","0","41700","35000","%%","25.00.53","Major Works","30000"
"0","0","1000","0","","25.00.60","Other Capital Expenditure","0"
"50000","0","87000","60000",": ....-0*","","Total:GSLV Operational Project","50000"
"","","","","","31","Navigation Satellite System (NSS)",""
"264466","0","361300","345000","","31.00.52","Machinery & Equipment","297000"
"81951","0","30000","30000","%%","31.00.53","Major Works","25000"
"165456","0","50000","159700","","31.00.60","Other Capital Expenditure","120000"
"511873","0","441300","534700",":(...)","","Total:Navigation Satellite System (NSS)","442000"
"","","","",",","37","Semi Cryogenic Engine Development",""
"209113","0","549500","373500","","37.00.52","Machinery & Equipment","1000000"
"310000","0","550000","500000","%%","37.00.53","Major Works","310000"
"5636","0","500","5000","","37.00.60","Other Capital Expenditure","0"
"524749","0","1100000","878500",":,","","Total:Semi Cryogenic Engine Development","1310000"
"","","","","O-,(..)","42","Geo-Imaging Satellite (GISAT)",""
"5903","0","10000","11000","","42.00.52","Machinery & Equipment","55000"
"309369","0","557900","402500","","42.00.60","Other Capital Expenditure","370000"
"315272","0","567900","413500",": O-,(..)","","Total:Geo-Imaging Satellite (GISAT)","425000"
"","","","","*%-2","43","Resourcesat-2A",""
"33289","0","66325","72900","","43.00.52","Machinery & Equipment","0"
"396546","0","66475","223900","","43.00.60","Other Capital Expenditure","0"
"429835","0","132800","296800",": *%-2","","Total:Resourcesat-2A","0"
"","","","","P-3","44","Cartosat-3",""
"0","0","15300","16800","","44.00.52","Machinery & Equipment","35700"
"0","0","100","0","%%","44.00.53","Major Works","200"
"44387","0","170500","382000","4 ","44.00.60","Other Capital Expenditure","642400"
"44387","0","185900","398800",": P-3","","Total:Cartosat-3","678300"
"","","","","","45","Scattsat",""
"24874","0","36200","85000","","45.00.52","Machinery & Equipment","0"
"286152","0","45200","194500","4 ","45.00.60","Other Capital Expenditure","0"
"311026","0","81400","279500",":","","Total:Scattsat","0"
"","","","","*-1","46","RISAT-1A",""
"0","0","1400","60500","","46.00.52","Machinery & Equipment","43000"
"59924","0","236500","1088500","4 ","46.00.60","Other Capital Expenditure","1200000"
"59924","0","237900","1149000",": *-1","","Total:RISAT-1A","1243000"
"","","","","-33","47","Oceansat-3 & 3A",""
"3708","0","27800","30500","","47.00.52","Machinery & Equipment","36000"
"332698","0","606500","634000","4 ","47.00.60","Other Capital Expenditure","700000"
"","","","","?@","47.99","Information Technology",""
"0","0","0","0","","47.99.52","Machinery & Equipment","500"
"336406","0","634300","664500",": -33","","Total:Oceansat-3 & 3A","736500"
"","","","","^ 7 N(....)","48","ISRO Propulsion Complex (IPRC)",""
"0","0","62900","39000","","48.00.51","Motor Vehicles","40000"
"169000","0","2407452","432000","","48.00.52","Machinery & Equipment","2039000"
"0","0","500","500","%% - *","48.00.53","Major Works- Charged","500"
"369500","0","749500","399500","","","Voted","499500"
"1000","0","5000","1000","","48.00.60","Other Capital Expenditure","7500"
"","","","","?@","48.99","Information Technology",""
"0","0","10000","0","","48.99.52","Machinery & Equipment","0"
"539500","0","3235352","872000",":^ 7 N ","","Total:ISRO Propulsion Complex (IPRC)","2586500"
"0","0","500","500","(....)*","","Charged","500"
"539500","0","3234852","871500","","","Voted","2586000"
"","","","",",R,*","49","Trisonic Wind Tunnel Facility Project",""
"0","0","98900","800","","49.00.52","Machinery & Equipment","800000"
"0","0","100","100","%%","49.00.53","Major Works","100000"
"0","0","0","0","4 ","49.00.60","Other Capital Expenditure","59000"
"0","0","99000","900",": ,R,*","","Total:Trisonic Wind Tunnel Facility Project","959000"
"","","","","P-2.","50","Cartosat-2E",""
"123","0","32000","35200","","50.00.52","Machinery & Equipment","18000"
"65355","0","391500","675600","4 ","50.00.60","Other Capital Expenditure","310400"
"65478","0","423500","710800",": P-2.","","Total:Cartosat-2E","328400"
"","","","","*-3","51","Risat-3",""
"0","0","100","0","","51.00.52","Machinery & Equipment","500"
"0","0","800","0","4 ","51.00.60","Other Capital Expenditure","300"
"0","0","900","0",": *- 3","","Total:Risat-3","800"
"","","","","1TI","52","Realisation of Second Vehicle Assembly Building (SVAB)",""
"1749999","0","1635000","2250000","","52.00.52","Machinery & Equipment","656000"
"1749999","0","1635000","2250000",": 1TI","","Total:Realisation of Second Vehicle Assembly Building (SVAB)","656000"
"","","","","","53","Advance Ordering",""
